seed,modality,fold,label,target,n,pearson,spearman
43,us,-1,0,abs_gap,23,0.9213216946317373,0.933794466403162
43,us,-1,1,loss,62,-0.7256420756308047,-0.921835259751706
43,us,-1,1,offset,62,0.881100237416643,0.8747450328624311
43,us,-1,1,abs_gap,62,0.9435591135885942,0.923295812243459
43,us,0,-1,loss,17,0.13892003316918672,-0.46323529411764713
43,us,0,-1,offset,17,0.9626724880400432,0.965686274509804
43,us,0,-1,abs_gap,17,0.9949121567796037,0.9926470588235295
43,us,0,0,loss,4,0.9983166543053896,1.0
43,us,0,0,offset,4,0.990483939586825,1.0
43,us,0,0,abs_gap,4,0.9972390607880115,1.0
43,us,0,1,loss,13,-0.91590906729543,-0.9945054945054945
43,us,0,1,offset,13,0.9674587078264716,0.9560439560439561
43,us,0,1,abs_gap,13,0.9951539073853415,0.9945054945054945
43,us,1,-1,loss,17,-0.03775708352484547,-0.536764705882353
43,us,1,-1,offset,17,0.9576020554003322,0.9411764705882353
43,us,1,-1,abs_gap,17,0.9891822942355868,0.9901960784313727
43,us,1,0,loss,4,0.9810586574026705,1.0
43,us,1,0,offset,4,0.7378799904476608,0.39999999999999997
43,us,1,0,abs_gap,4,0.9830576277365667,1.0
43,us,1,1,loss,13,-0.6971789589240587,-0.9945054945054945
43,us,1,1,offset,13,0.9676485510528982,0.9725274725274725
43,us,1,1,abs_gap,13,0.9903263905154105,0.989010989010989
43,us,2,-1,loss,17,-0.40054421929378026,-0.7622549019607844
43,us,2,-1,offset,17,0.6289735508113948,0.5196078431372549
43,us,2,-1,abs_gap,17,0.9570924298958656,0.965686274509804
43,us,2,0,loss,5,0.49312744952134746,0.6
43,us,2,0,offset,5,0.8261447245305074,0.8999999999999998
43,us,2,0,abs_gap,5,0.9718823154985508,0.8999999999999998
43,us,2,1,loss,12,-0.8121429946916403,-0.965034965034965
43,us,2,1,offset,12,0.5563697170889305,0.30069930069930073
43,us,2,1,abs_gap,12,0.9586309139622087,0.9580419580419581
43,us,3,-1,loss,17,-0.5597299156180295,-0.6544117647058824
43,us,3,-1,offset,17,0.9674368309841826,0.9583333333333335
43,us,3,-1,abs_gap,17,0.9659994959548037,0.9681372549019608
43,us,3,0,loss,5,0.9705360662650966,0.8999999999999998
43,us,3,0,offset,5,0.9765558223482953,0.9999999999999999
43,us,3,0,abs_gap,5,0.9688523166302768,0.8999999999999998
43,us,3,1,loss,12,-0.8574830252713099,-0.9720279720279721
43,us,3,1,offset,12,0.9644676172667348,0.9580419580419581
43,us,3,1,abs_gap,12,0.9659702780936938,0.9720279720279721
43,us,4,-1,loss,17,0.19122901416908003,-0.3970588235294118
43,us,4,-1,offset,17,0.8821119459757865,0.8700980392156864
43,us,4,-1,abs_gap,17,0.9697015306863259,0.9607843137254902
43,us,4,0,loss,5,0.9923180320751153,0.9999999999999999
43,us,4,0,offset,5,0.9940002895590074,0.9999999999999999
43,us,4,0,abs_gap,5,0.9789421968574461,0.9999999999999999
43,us,4,1,loss,12,-0.8435838293151469,-0.9440559440559443
43,us,4,1,offset,12,0.8427070173938865,0.8181818181818183
43,us,4,1,abs_gap,12,0.971953021353785,0.9440559440559443
44,emg,-1,-1,loss,85,0.2568734976345843,-0.2879421536056283
44,emg,-1,-1,offset,85,0.9695317163427233,0.9857533711158882
44,emg,-1,-1,abs_gap,85,0.8500699567043268,0.7987297244479187
44,emg,-1,0,loss,23,0.8778893753314836,0.7766798418972332
44,emg,-1,0,offset,23,0.9677053988326535,0.9673913043478262
44,emg,-1,0,abs_gap,23,0.8727780233834863,0.7618577075098815
44,emg,-1,1,loss,62,-0.6824670581059082,-0.7983430283800458
44,emg,-1,1,offset,62,0.9723545612487863,0.9876104857596132
44,emg,-1,1,abs_gap,62,0.832154104153969,0.8194454936919242
44,emg,0,-1,loss,17,-0.207955226933027,-0.43627450980392163
44,emg,0,-1,offset,17,0.9946261076553029,0.9975490196078433
44,emg,0,-1,abs_gap,17,0.9291295643205919,0.8651960784313727
44,emg,0,0,loss,4,0.8388745144578454,0.7999999999999999
44,emg,0,0,offset,4,0.9964741767429937,1.0
44,emg,0,0,abs_gap,4,0.8131740609283593,0.7999999999999999
44,emg,0,1,loss,13,-0.9602074620919252,-0.9175824175824175
44,emg,0,1,offset,13,0.9949439818413854,0.9945054945054945
44,emg,0,1,abs_gap,13,0.9531945575959571,0.9175824175824175
44,emg,1,-1,loss,17,-0.8643709985924666,-0.6176470588235294
44,emg,1,-1,offset,17,0.9740846744755716,0.9950980392156863
44,emg,1,-1,abs_gap,17,0.9483562256555329,0.2132352941176471
44,emg,1,0,loss,4,-0.46743126448977906,-0.39999999999999997
44,emg,1,0,offset,4,0.9751125098599072,1.0
44,emg,1,0,abs_gap,4,0.4356721265845297,0.0
44,emg,1,1,loss,13,-0.9205567983456993,-0.8901098901098902
44,emg,1,1,offset,13,0.9738303690103371,0.9945054945054945
